airline_sentiment,text
positive,wow blow mind
neutral,ladygaga carrieunderwood last night tribute soundofmusic oscars ladygaga think carrieunderwood agree
neutral,ladygaga carrieunderwood entertain
neutral,flight way suppose take minute ago website still show time flight thanks
positive,ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood
neutral,wish fly atlanta soon
neutral,ladygaga carrieunderwood julie andrews hand
neutral,flight leave dallas la february th
negative,hi im excited lgagtdal deal ive try book since last week amp page never load thx
positive,know need spotify stat guiltypleasures
positive,ladygaga carrieunderwood im lady gaga amazing smilingfacewithsmilingeyes
neutral,ladygaga carrieunderwood carrie
neutral,new marketing song httpstcoflfulcbq let u know think
neutral,ladygaga carrieunderwood julie andrew first lady gaga wowd last night carrie meh
negative,call week ago add flight elevatethey still havent show uphelp
neutral,ladygaga carrieunderwood great go carrieunderwood smilingfacewithhearteyes okhand
neutral,ladygaga carrieunderwood sorry mary martin first
positive,ladygaga carrieunderwood love three really cant beat classic
neutral,flight dal dca pm try check could status please
negative,heyyyy guyyyys try get hour someone call please
negative,hi virgin im hold minute early flight la nyc tonight earlier pm
positive,congrats win travelzoo award best deal airline u httptcokjiljaebv
negative,everything fine lose bag
neutral,need change reservation virgin credit card need modify phone waive change fee online
neutral,email customer service team let know need tracking number
neutral,hi book flight need add baggage
negative,airline awesome lax loft need step game dirty table floor httptcohyvrfhjht
positive,worry great ride new plane great crew airline like
positive,awesome fly yall sat morning way correct bill
neutral,watch best student film country foot cmfatfeet httptcokekpdmgif
neutral,first time fly different ratepolicy medium bag thanks
negative,go customer service anyway speak human asap thank
neutral,happen doom
negative,cant supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness
positive,ive apply member inflight crew teamim interested flightattendant dreampath g
negative,youre best whenever begrudgingly use airline im delay late flight
negative,interesting fly cancel flight next four flight plannedneverflyvirginforbusiness
negative,disappointing experience share every business traveler meet neverflyvirgin
negative,im trouble add flight wife book elevate account help httptcopxhqoksr
neutral,cant bring reservation online use flight book problem code
neutral,random q whats distribution elevate avatar bet kitty disproportionate share httptcoaptzpurop
neutral,lt fly va life happens try change trip jperhi helpva home page let
negative,site back
neutral,rnp yeah know
neutral,hi get point elevate account recent flight add flight point account
negative,like tv interesting video disappoint cancelled flightled flight flight go jfk saturday
negative,land lax hour late flight bag check business travel friendly nomorevirgin
neutral,flight redirect
negative,website btw new website isnt great user experience time another redesign
negative,cant check add bag website isnt work ive try desktop mobile httptcoavyqdmpiy
negative,let scan passenger leave plane tell someone remove bag st class bin uncomfortable
negative,phone number cant find call flight reservation
negative,anyone anything today website useless one answer phone
neutral,try add boy prince ressie sf thursday virginamerica lax httptcogsbjcgm
negative,must traveler miss flight late flight check bag miss morning appointment lose business sfolax
neutral,check new music httptcomarcnocwzn
negative,hows direct flight fllgtsfo unexpected layover vega fuel yet peeps next buy vega flight sneaky
negative,late flight bag check lose business miss flight apt three people flight exp
positive,amaze customer service twohearts twohearts raeann sf shes best customerservice virginamerica fly
negative,call service line hang awesome sarcasm
negative,site trip im try check im get plain text version reluctant enter card info
neutral,schedule sfo dal flight today change th due weather look like flight still
positive,getaway deal may oneway lot cool city httptcotzzjhuibch cheapflights farecompare
neutral,getaway deal may oneway lot cool city httptcorpdbpxwnd cheapflights farecompare
positive,getaway deal may oneway lot cool city httptcobxiygt cheapflights farecompare
neutral,getaway deal may oneway lot cool city httptcoqdljhsloi cheapflights farecompare
positive,great week sunwithface airplane
positive,come back phl already need take u horrible cold pleasecomeback httptcoglxfwpnqh
negative,concern fly plane need delay due tech stop
positive,best airline fly oneasy change reservationhelpful representative amp comfortable fly experience
positive,another rep kick butt naelah represent team beautifully thank
positive,beautiful frontend design right cool still book ticket bc backend secure
positive,love team run gate e la tonight wait delayed flight keep thing entertain
negative,use another browser amp brand reputation build tech response doesnt crossbrowser compatible website
negative,flight flight book problem site totally folk problem
negative,like customer service min delay connect passenger seem long va
positive,thanks outstanding nycjfk crew move mountain get home san francisco tonight
positive,absolute best team customer service ever every time fly im delighted thank
neutral,provide complimentary upgrade first class available seat
negative,need change flight thats schedule hour min wait time phone im call intern help
positive,completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue
neutral,watch oscar jfkgtsfo flight
neutral,flight cancel flightled
negative,fail customer check process link tsa precheck
negative,fidifamilies u terrible airline give u hotel hotline number say sorry
neutral,flight number sfo cabo san lucas arrive yet
negative,chrysichrysic assistance yesterday u cancel flightled flight give u hotel hotline shame
negative,another delay flight likingyoulessandless
negative,need register service dog first class ticket sfo gt dull phone queue hour long pls advise
positive,rock make watch oscar flight redcarpet oscar oscar
neutral,reallytallchris drop track httpstcozvpttrk
positive,always xoxo
negative,cant book seat flight buy even check creates much anxiety frustrate
negative,youd think pay extra buck rt luggage might afford hire extra hand sfo lame
positive,best customer service rep world irmafromdallas take cake
neutral,find u flt lax sooner midnight monday would great customer service smilingfacewithopenmouth
negative,please provide status flight cant imagine time web indicate dude weather andor dallas
positive,amazing staff amp super helpful run waltdisneyworld princesshalf spoil comfort
negative,pay premium fly across country cancel flight flight offer check fee upgrade love sad face
negative,question possible book seat infant give option want seat
positive,together youre welcome rt virginamerica jessicajaymes youre welcome
positive,flight home dc sunset globe backtowinter back work refreshed httptcovxvbctdlf
negative,dont understand need dm give answer damage luggage policy
negative,mean dont policy destroyed luggage
neutral,special assistance travel alone w kid infant priority boarding
positive,thank check ticket purchase customer happy
neutral,website ever come back online
neutral,flight love field sfo definitely cancel flightled monday february
neutral,flight lga dfw time
neutral,driver license expire little month fly friday morning use expired license
negative,problem flight book problem web site keep give error contact phone phone minute wait
negative,reschedule cancel flightled flight online change button grey
negative,ring wait minute book ticket vendor fix site
negative,get flight tell todaychecked email tomorrow unacceptable
negative,flight lga cancel flight stick dallas call reschedule told could get flight today
negative,dont pairing include red wine white offer redwineisbetter
negative,website
negative,site seem little wonked right may want look try two browser cs httptcoqsqmmkf
negative,im disappoint agent designate silver status check line dullesairport close assist pasengers
neutral,plan include austin dallas route topnews arab emirate httptcoaqzwecokk
negative,normal receive reply central baggage baggageissues smh
negative,logan airport wait checkin flight checkin desk open
neutral,jump dallasaustin market dallasnews httptcoewwgigdx
neutral,beat eps view take southwestair va luv investor business daily httptcoflwmgdahxu
neutral,lister show monday
neutral,begin dallasaustin flight april ketr httptcossuvwwkyhh
negative,congrats get business ewr sfolax fuck united fl sfoewr clincher
negative,apply week ago havent hear back im fly week disappoint
neutral,id love know policy damage luggage
positive,thank follow
negative,many apology r bad airline dont even respond cudtomers
negative,shame va make people spend money stranded city airline land jfk reimburse
neutral,ttinac dm
neutral,please flight sjc choice fly southwest vegas wearyface loudlycryingface
negative,bad say take day via confirmation email inquire week claim week
negative,flight bos gt la tomorrow cancel flightled notification wait time hour rebook another airline
positive,rt virginamerica youve meet match get status another airline upgrade restr httptcorhkamxvf httptcopyalebgkjt
positive,way fly elevate gold
neutral,guy flight cmh
negative,lot apology throw customer seevery sad thanks nothing bad airline ever
negative,flight stuff wrong nothing worst flight ever
neutral,issue find miss item plane help find airport plane head next
positive,match americanairlines status cool
neutral,meet matchgot status another airline upgrade httptcohrdktqy asarcoesar hearnoevilmonkey
negative,try book flight guy website wont let lose business
negative,suck
positive,thanks
negative,dmd issue persist
negative,never recd cancelled flightlation notice leave w option fly p drive la red eye mon w kid
negative,try book flight amp site grinningfacewithsmilingeyes
negative,flight fly boston tomorrow need home cancel flightled flight didnt anything
negative,stink flight cancel flight psp jfk notification ability rebook disappointed expect well
positive,love guy song dance high school dance revue
negative,website im try check
positive,do thank quick response apparently faster sit hold
neutral,nervous flight dc lax get cancel flightled tomorrow send dm help
positive,cool picture another virginamerica plane wing site httptcobagfdc
positive,keep great work
positive,goodness people love field amaze pressure redheart texas beatstheothers crisis please fly ny
positive,thanks great flight la boston pilot great job landing snow go back la seriously
neutral,please get new york area monday afternoon
positive,thanks much awesome support guy rock
negative,seat row dont recline mention website soreback
negative,flight delay hour la due mechanical problem handle like pro could toss u free drink
negative,cancel flight flight today precipitation scar snowflake snowflake snowflake
positive,twitter team guy kill reschedule asap thank
negative,guy charge reschedule flight cancel flight refuse refund whats deal
negative,cant access website safari iphone seem work mac ipad need iphone add passbook
neutral,ipad iphone click checkin link email receive hr flight
negative,mobile site break show headerelevateusernumofpointsavailable number point wont let checkin
negative,really look forward flight let know reschedule diehardvirgin
negative,cancelled flight flight vx one sec delay airport next cancelled flightledgonna email call reschedule
negative,problem link email checkin thanks
negative,change another airline get dc today united able land dc cost ugh
negative,look forward first flight today cancel flightled along subsequent one
positive,put great deal pdx las la pdx show love httptcoeniqgbuzj
positive,wish afford fly next friday go back home love everything airline
negative,gon na deal dallas dc deal dc dallas sad
neutral,bug report guy
negative,hold time call center bit much
positive,like httptcovpqemxuq
negative,site help
positive,best flight attendant ever httptcopxdelnql
positive,rt virginamerica watch nominate film foot meetthefleet oscar httptcodnstitrzwy
positive,thanks much
negative,try reset password email never arrive help
positive,airline base silicon valley disruption fcmostinnovative incubator fastcompanys httptcowulbcncr
positive,nicely do clappinghands
positive,im look forward watch oscar flight home tomorrow might even get something bubbly drink
negative,reason delay departure vx jfk afternoon
negative,todays flight palm spring ca jfk ny cancel flightled
positive,hahaha facewithtearsofjoy virginamerica guy amaze love guy growingheart
positive,sound like fun
neutral,update flight jfk gt lax
neutral,spruce moose
negative,cs site right please fix site unusable
negative,flight vega boston today check online bag count didnt register fix somehow
positive,classiq luv virgin america greetingz
negative,hi im try checkin website work try different browser problem continue
positive,thanks great customer service today amp help get travel sort
positive,thanks guy sweet route rockies airplanemodewason
positive,love music blasting gate boston wait flight sanfrancisco could get iced coffee
negative,passenger flt assault shouldnt fly trust he ban crew file report faanews
negative,current bug website show select departure city select destination city httptcosllyibevq
negative,luggage severely dentedmissing wheel come baggage claim san luggage agent miranda think wasnt help
positive,thank easy itinerary shift impend weather quick painless amp free
neutral,youd love see girl inspire become pilot rt free woaw event march abq httptcorfxlvkgdh
positive,thanks good time back vodkatonics entire flight cocktailglass sfo
neutral,beat expectation share take santa cruz sentinel httptcoqmdqbaig
neutral,plan start fly direct dal las
neutral,big lovegratitudempower w httptcoagrkncpf werin oscars vipswagbags avalonhollywood httptcoybmbgsdhn
positive,youre great job add little luxuriesaesthetics improve air travel experience thank keep
negative,request window seat confirm window get stick middle seat good way treat silver member unamusedface
neutral,grand budapest hotel oscarscountdown
neutral,miss newsvp next trip
negative,wtf pay direct flight purpose stop fuel exhaust frequent flier nothing inconvenience
negative,something wrong website safari iphone
positive,thanks gate checking baggage full flight dfwlax give early board sweet
negative,already check page expire x
negative,boo refund seat upgrade fee want buy first place
neutral,share rise q financial result usa today httptcolfspefey
neutral,add pillow instead lieflat seat first class arm race httptcorgywjbbhm
positive,see
neutral,way take advantage mayweatherpacquiao
neutral,know im fly virgin fight mayweatherpacquiao
positive,inflight team make experience amazing
positive,cutest salt pepper shaker ever think guy cant get good httptcovckeulgj
negative,move seat notice well seat cabin select behind row select thumbsdown disappointed
neutral,share q result iol httptcoxzqegnef
positive,fav airline
positive,hot female pilot sweet dca sfo
neutral,thumbsup airplane airplane growingheart guys go start fly paris virginamerica lizautter youre welcome
neutral,policy fly surgery still wait answer tell doctor
negative,already contacted central baggage amp send dm renttherunway charge dress lost suitcase help
positive,thank
negative,anything go website ive get lot error past minute
neutral,think leave something plane yesterday callah
neutral,need follow back order dm
neutral,need start fly kciairport smilingfacewithsmilingeyes grinningface smilingfacewithopenmouth smilingfacewithopenmouthsmilingeyes
neutral,tell check airline regulation first contact
negative,virginatlantic check flight sfo lax amp tell atlantic fly club gold get benefit
negative,husband order three drink via screen never come awesome
negative,soooo guys go leave seatbelt light flight barely call turbulence
neutral,policy fly surgery
neutral,post second consecutive fullyear net profit atwonline httptcotvbzbzvhg
negative,funny story website break miss javascript stylesheets checkin process dislike
positive,would love virgin like gopro
neutral,result handily exceed forecast nytimes httptcogonmrwemi
neutral,apply position flylaxairport wonder guy receive application
neutral,achieve second year profitability despite revenue pressure capaaviation httptcozsuztnaijq
neutral,give positive outlook see increase competition reuters httptcojeuodeyj
negative,im try check ct flight tmm desktop website work sort cache bug so
neutral,weather delay gt next week jfk bos dca
neutral,madbee check website go airport
negative,guy know checkin link email break httptconpxbobmr
neutral,pilot say expect choppy landing nyc due gusty wind wa temperature degree amp wthe windchill
positive,love cant wait monday return flight mostly watch inflight safety video sorrynotsorry
negative,lose luggage day ago flight vx lax iad amp im call every day responseplease give back stuff
negative,flight book problem section website seem break chrome might wan na look
positive,hi want see new route plan year newark love fly guy hope
positive,mean probably inappropriate board
positive,happy spend day together let
neutral,save sanity right httptcoeltboljul
neutral,miss flight standby work
positive,understanding help thx comp
neutral,bring way across country today see httptcotkauygcpms
positive,thank absolutely smilingfacewithsunglasses
negative,look like broken link asset httpstcooardjjgrrd
neutral,ready let say together noooo turbulence today faceblowingakiss
negative,manage itinerary section website seem break httpstcopujvcelng
negative,cant check site look like every time load httptcokacyawdbw
neutral,u help princess freyabevanfund need urgent treatment iny old battling cancer could u help flight growingheart freyasfund
neutral,may start service hawaii sanfrancisco year httptcoyponyprzl biztravel
negative,carrier less half price round trip fare stun httptcoukdjjijrow
negative,wtf happen pdx late flight march one way sfo
neutral,add dtw im sell
positive,free drink flight back free promo
positive,ssal thanks
neutral,momma make grinningfacewithsmilingeyes grinningfacewithsmilingeyes grinningfacewithsmilingeyes
neutral,please contact portfolio leave flight vx jfk sfo tonite seat need return call
neutral,help flight jkf tonight seat c leave portfolio need back
neutral,shrinerack seattle bound wifey get duffle vday shes keeper holla httptcojloiblnair
negative,luggage go ive file paperwork promise callemail still resolution response central luggage
neutral,debbie baldwin give rockstar performance safety demo evening vx lassfo bestcrew sherocks
positive,thanks
positive,thanks take care suuperg flight rockstars travel
positive,thanks lovely soft view travel san sfo httptcocnctlgef
negative,request mileage challenge status several week ago online havent hear back get help
negative,try book ticket nyc face super fun break style dont worry ill keep try
neutral,many thanks follow ourprincess freyasfund usa bandie look help smilingfacewithhearteyes growingheart growingheart growingheart ribbon globeshowingasiaaustralia ribbon httptcoujfszikd
neutral,nice lofty view flylaxairport silverstatus httptcoftpdawbd
negative,apply status match feb get confirmation email day still news though guy drop ball late flightly disappointedbutrelievedface
neutral,new go airline
neutral,virginatlantic gma americanair help ourprincess need help usa ribbon ribbon ribbon httptcoaztdaer
positive,adore look forward flight austin two week
positive,glad mention take first virgin flight year back transformative experience
neutral,flight book problem flight uphold status match tax ticket count earned status point statusmatch virginamerica
negative,try checkinbut look like site
negative,spending birthday night daldca get home
negative,send couple message email provide avail try next year cheer
positive,first time fly virgin go sanfrancisco thanks smooth ride easily new fav airline
negative,seriously though direct flight sfofll may
negative,fine already do purchase try go way go back
negative,really experience hop ws force check small carry w nothing empty cabin space board
negative,wjere luggage slow lax
neutral,jump dallas austin market httptcoszrpioa
negative,speak representative offer solution loyal customer fly virginatlantic well
negative,deeply disappointed birthday promo apply trip book mere day receive email
negative,happen direct flight sfofll look may see connect help dontdothistome
neutral,help leave blazer kooples jacket bag rd row second seat right gate lax flight sfo
neutral,partner visa checkout mobile payment method help boost mobile conversion rate etailwest payment visa
positive,promote product problem southwest recommend noneother best httptcotfanxbhcf
positive,love guy pls get direct route las aus
neutral,would like help flight please
neutral,virginamerica giannilee turn vxsafetydance
positive,course work virginatlantic im obsess entire virgin family
positive,ok first time fly tonight
neutral,dig swanky pink mood light flight nyc sfo need cabaret singer think
neutral,do need receipt asap could please help
negative,emboss badge patch superior one currently use httptcofqxelbon
negative,vx jfk la dirty plane standard
negative,flight vx head la jfk dirty va plane ever sad great airline
positive,get square away someone pick soon tweet tweet sooner winkingface
negative,avis rental continue button doesnt work website book car try time phone suck
negative,delay
negative,currently minute hold cust service need anything add lap child reservation
neutral,add pillow instead lieflat seat first class arm race httptcosfjduahxz skift
positive,karinslee course fun celebrate thanks happy chinese new year
positive,flight book problem last second flight next week sfo san chance want gift promo code since love guy
negative,comenity bank joke please change nothing constant problem bank
neutral,dm u also add
positive,grandma ellas th would lt bday greeting flight crew stewardess eastern airline
positive,buy tix atx dallas route thanks add love yr airline amp yr website best transactional site ever
neutral,anytime sugafly
positive,give credit late flight flight yesterday great service thats wow moment unexpected gesture
neutral,need receipt flight change send one
negative,submit status match request back still havent heard im fly monday look accelerate
positive,safety video httptcocqmmnuem love first cross country flight livewelltraveled sytycd
positive,doesnt look fat look yummy
neutral,ceo say southwest amp jetblue stray low cost model httptcosctomh
neutral,brilliant brisk boston cue vx httptcormznivgmg
neutral,atlantic plough lone furrow middleeast httptcofvudmhpf thenationaluae
neutral,atlantic plough lone furrow middleeast httptcodcoboknee thenationaluae
neutral,atlantic plough lone furrow middleeast httptcovwpttlh thenationaluae
positive,omg omg smilingfacewithhearteyes smilingfacewithhearteyes nonstop dallas austin virgin sparkle facescreaminginfear airplane
positive,plane really pretty think u know
neutral,fly hawaii
negative,im pull hair try book flight u site doesnt work iphone ipaddont computer help
positive,thank
negative,get help support ticket day incident thank
positive,good home texas moodlighting httptconbvztyzi
negative,even open laptop seat c pay premium let
negative,seat c even open laptop pay extra seat
neutral,guy start flight end month guess im still road trip feb
positive,thanks need way make austin trip dca youve come
neutral,announce new route austin wfares way httptcogapbamuc
neutral,really sprint think guy kewl
positive,cool never ur plane
neutral,dollar laxlas fare
positive,great well deserve
negative,fyi infovirginamericacom email address say contact password reset email doesnt exist email bounce
negative,status match week go newsflt next week hope flt count towards requirement cust svc help
negative,website suck donkey dick think know best
neutral,still develop app favorite airline
negative,crap channel pay watch uk tv
positive,get set thanks
neutral,channel year
neutral,thing see passbook virgin mobile mexico integrate
positive,giant virgin america match make heaven
positive,thank goodness also see friday nwkgtsf boom
negative,come dont iphone app still use make waste paper
negative,back seat entertainment system accept credit card apostrophe surname apostrophefail
negative,vx use lga slot instead today add aus make less likely
neutral,help step tinder game tindertips tinderchamp httptcojbmvvhaa
positive,luv ur people product thing u charge herbal tea black tea im caffeine drinker
positive,thank see yall soon im excite see expansion destination spread wing
neutral,announce new nonstop connecting austinairport amp dallaslovefield intro httptcoqxnoaqtyn httptcojkqmdfqgf
neutral,add austindallas love field route httptcoxwjolflh httptcoyaormfkac
negative,sad learn longer fly sfo gt phl hope return
neutral,tweet cancelled flightchng fee flight rebook one affiliate afiliates
positive,incredible customer service ive ever experience refreshing
neutral,see virginamerica come philadelphia phl
positive,dreaming really open route dallas austin mean houston might next
positive,omg finally
neutral,start xweekly flight dallas dallaslovefield austin apr avgeek
neutral,nice see expand texas dont forget u sandiego would love see flight
negative,kinda suck earphone jack didnt work flight may want look future passenger
negative,poor experience first computer problem seat malfunction stick miss meeting san diego
neutral,battle southwestair dallaslovefieldaustinairport route httptcorlzebkx via usatoday
positive,thankyou dalaus route make day
positive,awesome deal dalaus way httpstcoxcvqxykg
neutral,miss nerdbird san jose
positive,love take southwestair backyard consumer win biz competes
positive,fly love austin excellent news
neutral,make every vx plane nerdbird austin one get nerd love
neutral,please add frequency pdx portland
positive,congrats vx new route airplane partypopper
negative,try offer charge additional k new ticket strand thurs st time last time
neutral,americanair u help flight get old battling cancer need treatment freyabevanfund growingheart ribbon growingheart
negative,never bad experience one take cake extortion carry item well
negative,spend hour worry item carryon would brokenstolen since couldnt carry plane lock bag
negative,group e tell room bin get plane room least bag row
negative,thanks make flight lax jfk nightmare force check carry bag gate
negative,lot flight book site work ive phone wait minute
positive,flight artisanal cheese wine pairing
neutral,virgin america fly direct seattle nyc boston
positive,thats classy
positive,im sure lot jfklhr flight go lot faster mph strong tailwind
positive,tminus minute elevate silver upgrade window open freeneversucks smilingfacewithopenmouth thumbsup
neutral,save tomorrow
negative,take year fly home dallas get shit together
neutral,jezziegoldz club virgin bump new york httptcohaqcgdgc
positive,jezziegoldz would rough trip luckily virginamerica flight weather
neutral,thestarter grinningfacewithsmilingeyes
neutral,please come minneapolis st paul
neutral,yes fyi bff
positive,another perfect flight come plane sun visor stay carrier make raise
positive,rt virginamerica man steel might faster wifi say sciencebehindtheexperience httptcofgrbpazsix
positive,love dancing little richard cool bean
positive,dont use passbook still love though lt ill use email future
positive,thanks free birthday point yall right
neutral,application io look saw virgin mexico lt
negative,man steel fly city thoughand frequency
positive,thanks much share add site httptcotsvibtvth
neutral,good point
neutral,heard virgin mobile hotspot
neutral,get cheese plate flight
neutral,flight
positive,dad segway best part whole infographic
positive,plan short haul airline europe would defiantly fly guy
positive,wifi good seating
neutral,come abc one network channel dont
negative,start flight scolding use overhead bin offer person seat next
positive,great return call day couldnt ask myvxexperience
negative,airline werent cancel flighting flight bos help customer get home virgin say good luck
neutral,dear virgin customer youre strand sf day amp cost well least accommodate
neutral,use next airline commercial lol httptcopxexilsjbs
negative,group virgin others bos weather expose actual cu serv model never flight book problem virgin
negative,one traveler affect boston storm im shock virgin complete apathy toward customer
negative,umm reason someone different contact contact get definitive answer
negative,try make change advance hour priortried online early want change fee
positive,loyal im drive nyc pa fly virgin since cut philly flight
neutral,way change main cabin main cabin select flight without pay change fee penalty
positive,guy perfect always lt wervirgin
positive,thanks yall best customer service leave industry
neutral,give silver status month
positive,really wish youd fly fargo fargoairport fare amazings
negative,mood light point raisinghands recline seat kickin foot zzz
negative,flight schedule pm departure still say time plane gate update long delay
negative,group get cancelled flightlation fee waive cant ticket book rep help either poutingface
neutral,sign bonus enroll elevate
positive,get pm newark home la folk ewr incredible letsgohome
neutral,morning question regard elevate point amp flight dm
neutral,still wait see starryeyesdev disappointedface
neutral,wonder guy recieved dm able potentially respond asap
positive,fly lax sfo look awesome movie lineup actually wish long haul
neutral,book town fare way restr httptcoxrdtovnl httptcoybyackc jenniferdawnpro
positive,thanks
positive,thanks take care mr happy customer
negative,still refund word via dm please resolve issue cancel flightled flight useless assistant trip
negative,delay due lack crew delay there long line deice still need improve service united
positive,thanks fill hows luck common
negative,eriord express connection hugely popular could eriewr hop
neutral,even international flight glasgow u orlando newark min
negative,think board flight au early think
neutral,understand tough way get airport wo serious risk accident steep price
negative,gate agent hook alternate flight way prevent constant issue would rock
neutral,fly glamco week long airport departure international domestic ta
positive,thanks
positive,thanks ticket
neutral,law policy
negative,bad nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade
negative,cheertymedad buy tix day flight cant transfer tix flaw security logic flaw customer service
negative,start claim week unrealistic really suppose go long car seat childridiculous
positive,follow please airline beautifull heartsuit
neutral,dont im sure unite info system
negative,car seat lose united reimburse new one pair shoe necessity child
neutral,submit response link send
neutral,yes david allan send email number kmmvlkm case
negative,highbuddyyy totally suck cousin work phl say united
positive,want let know wonderful rosetta gate agent work flight dan ase let know wasappreciated
neutral,yes paper voucher get january th
negative,beginning feb call unite say would send another voucher mail never get anything tiredofwaiting
negative,internet great thing email executive company maybe respond timely manner
neutral,need use chase united club pas yr old son come pas
neutral,suppose number
negative,thats weak see ya wavinghand hey virginamerica
negative,fly back w company since united didnt early flight
neutral,lose voucher give miami aeroport jan use
negative,try book award september need flight aegeanairlines show even w many award seat availab
negative,sure drive total hour get bag id like explain debacle one want talk
neutral,cheertymedad gee thats like almost care ppl think im int trusted adult w daughter
negative,see tell repeatedly pilot late flight keep get late flightr board defibrillator issue
negative,preferred security line anymore tsa precheck didnt pull silverairways partner flight platinum spoil
negative,newarkliberty airport need indicate different gate terminal aampc flyingainteasy
negative,yes please newly marry try update last name preexisting international flight seem easy
negative,united refuse reissue lost voucher plane didnt take due mechanic badcustomerservice
negative,also run instruct shatter computer httptcooaflfrwxb
negative,yes weve agent last minute one agent rude thankfully ladan nice
neutral,thats right overnight miami
neutral,client hr layover iah day claim amp recheck luggage take care
neutral,try find loaner seat new use used car seat illegal accord safety regulation
neutral,dmed detail
negative,iah charlotte baggage claim rep latrice h customerservice non existent ignore customer inappropriately touch customer
neutral,kewl also let know overhead bin row inop love good abbreve
positive,thanks helpgot need issue austrian guess sit awhile longer
negative,uctraveladvisor would love respond website saw really long form business new seat bad
negative,refund flight voucher another flight different airline expense today hour drive inconvenient
negative,receive call back daysits infant car seat suppose go anywhere child
neutral,thanks concern contact customer care upon return australia
negative,well sit ground time wait gateagain tiredofthis
positive,airport snow removal method keep good work folk cessnas become httptcovtmusjvu
negative,need guy book plane concern ill travel someone else move forward
negative,measly ecertificate appreciate loyal customer wait hr tarmac ua unacceptable
negative,email addressusername signon available
positive,thank able claim interim expense cost stuff
negative,rude rude
negative,cant get boarding pas austrian airline codeshare flight rebook incls hour layover amp stick outside sec
negative,receive flight unite truly breaks guitar unitedbreaksguitars wantmymoneyback
negative,fly telaviv pay third suitcase didnt even make plane besides impolite service
negative,bag still colo spring disabled search unfamiliar airport look bag good outcome
negative,shame theres flex ticket transfer rule even call neurosurgery icu isnt enough
negative,denver say dont handle baggage make colo spring give number call help either
negative,guy need serious training customer service many good option put way guy handle ur mistake
neutral,ord dca
negative,find problem avoid like plague tell cant find supervisor
negative,zccu cancel flight flight h advance need connect flight reschedule link isnt help help gf waited month see
negative,fly
negative,addition first flight delay hour im arriving destination hr late flight
neutral,cancel flighted flight didnt rebook u added flight drive denver kcthanks
neutral,announcement pre board address mobility disability require travel lot stuff preboard
positive,fly united last month experience awesome
negative,travel book thru united group dept okc ticket agent less willing help connection lax
negative,v upset disability service tell one employee carry medical equipment rude
negative,thnx quick reply dont think assist intl grp put considerable inconvenience today
negative,wont transfer flight ticket accompany yr old who active military mom emergency brain surgery wow
negative,getmeontop week late flightr still receive mile mileageplus gift card starbucks card hand
negative,k im always hop improvement
negative,yet complain guy check luggage throw bag around unfortunate coincidence hope
